time_period,total_load,cell_barring,cell_radius
614,52.888546987032626,1,100
615,52.848007427800695,1,100
616,52.90300353746149,1,100
617,52.99427751674383,1,100
618,53.01428906315329,1,100
619,53.09730619806487,1,100
620,53.21310694225981,1,100
621,53.16950980488086,1,100
622,53.209260192724294,1,100
623,53.22869425327764,1,100
624,53.10917629171482,1,100
625,53.09856457677178,1,100
626,53.181535346750884,1,100
627,53.190885929514145,1,100
628,53.09208840289645,1,100
629,53.00745719272628,1,100
630,52.99351854730259,1,100
631,53.00368296098043,1,100
632,53.06075498229944,1,100
633,52.9932713596186,1,100
634,53.060452802864944,1,100
635,53.098516173754334,1,100
636,53.12196233695847,1,100
637,53.146225423199624,1,100
638,53.14111807021938,1,100
639,53.266056464613,1,100
640,53.2170763583774,1,100
641,53.249124437896285,1,100
642,53.12896790128238,1,100
643,52.99708735722981,1,100
644,53.05013517155652,1,100
645,52.96974372441251,1,100
646,52.872184917374156,1,100
647,52.953982143364186,1,100
648,53.01379984053942,1,100
649,52.9970272756301,1,100
650,53.090668981194405,1,100
651,53.30150736668538,1,100
652,53.27832627928315,1,100
653,53.180906068506694,1,100
654,53.17250979949592,1,100
655,53.09849694433476,1,100
656,53.15471979247515,1,100
657,53.17861759915187,1,100
658,53.05804783979429,1,100
659,53.04162421394364,1,100
660,53.00229746530713,1,100
661,52.967302365281455,1,100
662,52.857637399549674,1,100
663,52.86027180359179,1,100
664,52.8284001654258,1,100
665,52.84444692101053,1,100
666,52.89263793491251,1,100
667,52.9124075486941,1,100
668,52.87936185191347,1,100
669,52.88201896366378,1,100
670,52.87472597216485,1,100
671,52.84642548749282,1,100
672,52.87733481051445,1,100
673,52.896537484395694,1,100
674,52.88120742101359,1,100
675,52.992107566667066,1,100
676,53.06156455770012,1,100
677,53.06837772757626,1,100
678,53.11782890882323,1,100
679,53.03451165895881,1,100
680,52.950912419076325,1,100
681,53.06272605523314,1,100
682,53.01241453473371,1,100
683,53.05173404740998,1,100
684,53.05379710364979,1,100
685,53.05056263742253,1,100
686,52.95562733568095,1,100
687,52.960626390361696,1,100
688,52.951909695759554,1,100
689,53.01587872496825,1,100
690,52.98900743800391,1,100
691,52.89781986077014,1,100
692,52.82671731762193,1,100
693,52.7872522014692,1,100
694,52.76728226527766,1,100
695,52.77715189772149,1,100
696,52.81844433884955,1,100
697,52.69283896114852,1,100
698,52.684013667618714,1,100
699,52.836616374673305,1,100
700,52.758832264658075,1,100
701,52.73432747282721,1,100
702,52.73679630887266,1,100
703,52.85405950075738,1,100
704,52.86063390287226,1,100
705,52.88358141844232,1,100
706,52.87656255100853,1,100
707,52.753556753388665,1,100
708,52.702117328561634,1,100
709,52.86474848422976,1,100
710,52.789023764993956,1,100
711,52.77422952508315,1,100
712,52.83273552107839,1,100
713,52.937329274841225,1,100
714,52.88288390375496,1,100
715,52.84052799732121,1,100
716,52.999838861518114,1,100
717,52.994833093865154,1,100
718,52.934154566807635,1,100
719,53.01007066801463,1,100
720,52.972224235002926,1,100
721,52.852503402475236,1,100
722,52.797491991923884,1,100
723,52.81905363439927,1,100
724,52.88871132901397,1,100
725,53.07547927721401,1,100
726,53.0882177632709,1,100
727,53.1087725465533,1,100
728,53.15220892256185,1,100
729,53.30536950258655,1,100
730,53.39561844071726,1,100
731,53.48421341128728,1,100
732,53.47649618254077,1,100
733,53.36944579506725,1,100
734,53.51553786220911,1,100
735,53.50171585864638,1,100
736,53.43836908479593,1,100
737,53.4552240893634,1,100
738,53.475119295437004,1,100
739,53.55540492133949,1,100
740,53.50959927926021,1,100
741,53.40678171125124,1,100
742,53.44990430612876,1,100
743,53.332687405803995,1,100
744,53.43157502985393,1,100
745,53.39864177355201,1,100
746,53.35164046573821,1,100
747,53.34391707392697,1,100
748,53.31710702922499,1,100
749,53.27668656806671,1,100
750,53.19545491079684,1,100
751,53.22019287760325,1,100
752,53.11728106664877,1,100
753,53.03024310186826,1,100
754,52.918820719035246,1,100
755,52.78428385256232,1,100
756,52.70801707984861,1,100
757,52.600449826340274,1,100
758,52.465285525866165,1,100
759,52.4675568796566,1,100
760,52.438500446519505,1,100
761,52.43045467489347,1,100
762,52.517854637299216,1,100
763,52.495964400279945,1,100
764,52.521545967171505,1,100
765,52.48549856727687,1,100
766,52.55738393078765,1,100
767,52.498648648691876,1,100
768,52.59928981736689,1,100
769,52.55571813548651,1,100
770,52.56627876265529,1,100
771,52.650126204031395,1,100
772,52.66435967364593,1,100
773,52.63793394080451,1,100
774,52.70197371885846,1,100
775,52.795280300077614,1,100
776,52.853690099202346,1,100
777,52.858440564517984,1,100
778,52.82155683408227,1,100
779,52.79096187943536,1,100
780,52.87902657793188,1,100
781,52.92064546579907,1,100
782,52.97729948714891,1,100
783,53.03231397534666,1,100
784,53.053342723417614,1,100
785,53.09171707960456,1,100
786,53.04141930928807,1,100
787,53.10828545057053,1,100
788,53.076212435033696,1,100
789,53.05870581262211,1,100
790,53.05573589017021,1,100
791,53.06737071394052,1,100
792,53.05151925812617,1,100
793,53.008701601075245,1,100
794,53.12992252054853,1,100
795,53.066811570241015,1,100
796,52.96149840351741,1,100
797,52.89018188949449,1,100
798,52.789854662461394,1,100
799,52.76055350389008,1,100
800,52.75024386681058,1,100
801,52.84642251868696,1,100
802,52.8776079133707,1,100
803,52.84245145884092,1,100
804,52.924487086827654,1,100
805,52.88832785530529,1,100
806,52.83635463450368,1,100
807,52.7742338655804,1,100
808,52.721053889058716,1,100
809,52.75968054434318,1,100
810,52.859578240820646,1,100
811,52.8466987425015,1,100
